date,close_rmb_g
2026-01-22,1083.69
2026-01-23,1110.3
2026-01-26,1144.45
2026-01-27,1144.14
2026-01-28,1184.96
2026-01-29,1243.02
2026-01-30,1163.95
2026-02-02,1030.0
2026-02-03,1097.89
2026-02-04,1140.3
2026-02-05,1105.47
2026-02-06,1093.85
2026-02-09,1116.02
2026-02-10,1116.69
2026-02-11,1123.02
2026-02-12,1122.52
2026-02-13,1108.92
2026-02-24,1147.66
2026-02-25,1145.64
2026-02-26,1144.51
2026-02-27,1142.97
2026-03-02,1199.45
2026-03-03,1182.0
2026-03-04,1153.18
2026-03-05,1149.61
2026-03-06,1139.33
2026-03-09,1140.38
2026-03-10,1144.78
2026-03-11,1150.42
2026-03-12,1146.45
2026-03-13,1131.09
2026-03-16,1114.61
2026-03-17,1115.97
2026-03-18,1111.89
2026-03-19,1061.0
2026-03-20,1041.59
2026-03-23,924.65
2026-03-24,979.56
2026-03-25,1015.45
2026-03-26,991.36
2026-03-27,993.9
2026-03-30,1008.75
2026-03-31,1018.9
2026-04-01,1047.89
2026-04-02,1027.5
2026-04-03,1034.42
2026-04-07,1028.0
2026-04-08,1059.91
2026-04-09,1036.0
2026-04-10,1047.23
2026-04-13,1042.3
2026-04-14,1048.35
2026-04-15,1055.19
2026-04-16,1058.36
2026-04-17,1053.0
2026-04-20,1053.98
2026-04-21,1050.48
2026-04-22,1049.11
2026-04-23,1037.5
2026-04-24,1033.25
2026-04-27,1037.21
2026-04-28,1020.73
2026-04-29,1009.88
2026-04-30,1013.6
2026-05-06,1026.94
2026-05-07,1038.94
2026-05-08,1032.0
2026-05-11,1025.82
2026-05-12,1028.51
2026-05-13,1029.99
2026-05-14,1028.68
2026-05-15,1006.01
2026-05-18,999.69
2026-05-19,998.0
2026-05-20,984.98
2026-05-21,991.4
2026-05-22,992.1
2026-05-25,997.0
2026-05-26,991.97
2026-05-27,982.53
2026-05-28,961.82
2026-05-29,984.96
2026-06-01,980.6
2026-06-02,987.45
2026-06-03,972.8
2026-06-04,974.5
2026-06-05,974.41
2026-06-08,941.01
2026-06-09,944.98
2026-06-10,915.63
2026-06-11,896.01
2026-06-12,907.47
2026-06-15,937.51
2026-06-16,940.48
2026-06-17,939.18
2026-06-18,935.86
2026-06-22,914.35
2026-06-23,898.93
2026-06-24,894.39
2026-06-25,874.95
2026-06-26,883.7
2026-06-29,886.74
2026-06-30,879.03
2026-07-01,868.8
2026-07-02,887.0
2026-07-03,910.98
2026-07-06,907.77
2026-07-07,902.57
2026-07-08,901.07
2026-07-09,898.79
2026-07-10,897.25
2026-07-13,886.46
2026-07-14,879.9
2026-07-15,877.99
2026-07-16,877.32
2026-07-17,872.48
2026-07-20,873.0
2026-07-21,886.95
2026-07-22,899.0
2026-07-23,895.67
2026-07-24,883.66
2026-07-27,893.97
2026-07-28,883.28
2026-07-29,881.98
2026-07-30,880.69
2026-07-31,885.33
2026-08-03,884.23
2026-08-04,883.88
2026-08-05,907.05
2026-08-06,923.43
2026-08-07,932.83
2026-08-10,945.22
2026-08-11,953.67
2026-08-12,955.07
2026-08-13,949.24
2026-08-19,945.22
2026-08-20,968.14
2026-08-24,1004.21
2026-08-25,1000.00
2026-08-31,962.00
